SEXO,RACACOR,ESTCIV,ESC
M,branca,sep. judicialmente,8-11 anos
M,branca,viúvo,12+
F,branca,viúvo,nenhuma
F,branca,casado,ignorado
F,branca,viúvo,4-7 anos
F,branca,viúvo,ignorado
M,branca,casado,12+
M,branca,casado,12+
F,branca,viúvo,12+
F,branca,solteiro,4-7 anos
M,branca,casado,12+
M,branca,casado,12+
M,branca,viúvo,12+
F,branca,viúvo,8-11 anos
M,preta,viúvo,4-7 anos
M,branca,casado,4-7 anos
M,branca,ignorado,ignorado
M,branca,solteiro,ignorado
F,branca,viúvo,4-7 anos
F,branca,casado,ignorado
M,ignorado,solteiro,nenhuma
M,branca,viúvo,12+
F,branca,viúvo,4-7 anos
M,preta,solteiro,ignorado
M,branca,solteiro,12+
M,branca,viúvo,12+
M,branca,solteiro,8-11 anos
M,branca,casado,4-7 anos
M,preta,solteiro,1-3 anos
M,branca,casado,12+
M,preta,ignorado,ignorado
M,parda,solteiro,nenhuma
M,preta,casado,1-3 anos
M,branca,casado,8-11 anos
F,parda,solteiro,8-11 anos
F,parda,viúvo,1-3 anos
F,branca,sep. judicialmente,4-7 anos
M,parda,viúvo,nenhuma
F,preta,viúvo,4-7 anos
M,branca,casado,12+
M,branca,viúvo,ignorado
F,branca,viúvo,1-3 anos
M,branca,casado,4-7 anos
M,parda,solteiro,ignorado
F,branca,viúvo,4-7 anos
F,branca,viúvo,ignorado
F,parda,viúvo,ignorado
F,branca,solteiro,8-11 anos
M,preta,viúvo,ignorado
M,branca,casado,12+
M,preta,sep. judicialmente,8-11 anos
F,parda,viúvo,nenhuma
M,preta,casado,12+
M,branca,sep. judicialmente,12+
M,preta,casado,ignorado
M,parda,casado,nenhuma
M,branca,casado,12+
M,branca,solteiro,1-3 anos
M,branca,casado,8-11 anos
F,branca,solteiro,1-3 anos
M,branca,casado,ignorado
F,parda,viúvo,12+
F,parda,viúvo,nenhuma
F,branca,viúvo,8-11 anos
F,branca,viúvo,ignorado
F,preta,viúvo,nenhuma
M,preta,solteiro,4-7 anos
F,branca,casado,4-7 anos
M,parda,solteiro,1-3 anos
M,branca,casado,1-3 anos
M,parda,casado,4-7 anos
F,parda,casado,4-7 anos
M,preta,viúvo,1-3 anos
F,parda,viúvo,1-3 anos
F,preta,casado,nenhuma
F,parda,solteiro,1-3 anos
F,branca,sep. judicialmente,4-7 anos
F,branca,viúvo,nenhuma
F,branca,sep. judicialmente,1-3 anos
F,preta,casado,1-3 anos
M,branca,solteiro,8-11 anos
F,branca,viúvo,ignorado
F,branca,casado,nenhuma
M,branca,casado,1-3 anos
F,branca,viúvo,ignorado
F,preta,solteiro,ignorado
F,branca,viúvo,12+
F,branca,viúvo,nenhuma
M,preta,viúvo,ignorado
F,branca,viúvo,1-3 anos
F,ignorado,viúvo,4-7 anos
F,branca,solteiro,4-7 anos
F,branca,viúvo,ignorado
M,branca,solteiro,ignorado
